,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 극동유화,71.27,69.41,76.81,
1,부채총계,"1,206","1,199","1,399",
2,자본총계,"1,693","1,727","1,821",
3,펼치기 에너지,121.31,140.75,153.64,
4,부채총계,"636,999","691,957","943,514",
5,자본총계,"525,103","491,618","614,121",
6,펼치기 코스피,288.35,300.86,289.24,
7,부채총계,"50,637,711","55,343,981","60,663,500",
8,자본총계,"17,561,211","18,395,440","20,973,232",
