,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DL이앤씨,,,93.49,80.73
1,부채총계,,,"42,045","40,808"
2,자본총계,,,"44,971","50,549"
3,"펼치기 건설,건축관련",,144.13,126.19,
4,부채총계,,"979,084","964,270",
5,자본총계,,"679,309","764,127",
6,펼치기 코스피,,300.86,289.24,
7,부채총계,,"55,343,981","60,663,500",
8,자본총계,,"18,395,440","20,973,232",
