,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 F&F,,,109.43,69.30
1,부채총계,,,"5,991","6,110"
2,자본총계,,,"5,474","8,817"
3,"펼치기 화장품,의류,완구",,68.00,63.12,
4,부채총계,,"338,805","390,049",
5,자본총계,,"498,277","617,926",
6,펼치기 코스피,,300.86,289.24,
7,부채총계,,"55,343,981","60,663,500",
8,자본총계,,"18,395,440","20,973,232",
