,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DGB금융지주,"1,238.94","1,286.53","1,257.70","1,228.24"
1,부채총계,"669,968","742,147","795,787","820,600"
2,자본총계,"54,076","57,686","63,273","66,811"
3,펼치기 은행,"1,190.61","1,209.88","1,194.79",
4,부채총계,"22,575,163","25,373,215","27,963,410",
5,자본총계,"1,896,105","2,097,167","2,340,453",
6,펼치기 코스피,288.35,300.86,289.24,
7,부채총계,"50,637,711","55,343,981","60,663,500",
8,자본총계,"17,561,211","18,395,440","20,973,232",
