,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG에너지솔루션,,163.59,171.83,85.03
1,부채총계,,"123,764","150,218","163,942"
2,자본총계,,"75,654","87,424","192,813"
3,펼치기 IT가전,,116.61,112.85,
4,부채총계,,"434,199","520,354",
5,자본총계,,"372,340","461,090",
6,펼치기 코스피,,300.86,289.24,
7,부채총계,,"55,343,981","60,663,500",
8,자본총계,,"18,395,440","20,973,232",
