,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG에너지솔루션,,15.33,21.84,21.10
1,매출총이익,,"2,240","38,988","43,365"
2,매출액,,"14,611","178,519","205,473"
3,펼치기 IT가전,,24.04,23.89,
4,매출총이익,,"201,099","239,087",
5,매출액,,"836,536","1,000,994",
6,펼치기 코스피,,22.22,23.89,
7,매출총이익,,"5,222,845","6,561,958",
8,매출액,,"25,228,013","29,244,221",
