,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 BGF리테일,17.77,17.02,17.36,17.67
1,매출총이익,"10,565","10,518","11,771","13,085"
2,매출액,"59,461","61,813","67,812","74,050"
3,펼치기 소매(유통),33.32,31.58,32.13,
4,매출총이익,"253,732","238,464","267,299",
5,매출액,"761,435","755,225","832,296",
6,펼치기 코스피,21.57,22.22,23.89,
7,매출총이익,"5,163,056","5,222,845","6,561,958",
8,매출액,"25,605,529","25,228,013","29,244,221",
