,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG이노텍,13.06,13.52,14.26,14.61
1,매출총이익,"10,419","12,903","21,305","24,507"
2,매출액,"79,754","95,418","149,456","167,775"
3,펼치기 IT하드웨어,16.94,15.60,16.45,
4,매출총이익,"98,935","91,725","120,053",
5,매출액,"583,919","587,979","730,199",
6,펼치기 코스피,21.57,22.22,23.89,
7,매출총이익,"5,163,056","5,222,845","6,561,958",
8,매출액,"25,605,529","25,228,013","29,244,221",
