,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DL이앤씨,,,18.17,16.21
1,매출총이익,,,"13,864","12,773"
2,매출액,,,"76,317","78,777"
3,"펼치기 건설,건축관련",,15.52,15.49,
4,매출총이익,,"180,364","206,042",
5,매출액,,"1,161,867","1,329,837",
6,펼치기 코스피,,22.22,23.89,
7,매출총이익,,"5,222,845","6,561,958",
8,매출액,,"25,228,013","29,244,221",
