,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK네트웍스,8.54,10.15,10.31,10.74
1,매출총이익,"11,143","10,784","11,362","11,617"
2,매출액,"130,542","106,259","110,181","108,207"
3,"펼치기 상사,자본재",13.84,13.47,15.05,
4,매출총이익,"379,339","329,531","442,234",
5,매출액,"2,740,911","2,446,447","2,938,119",
6,펼치기 코스피,21.57,22.22,23.89,
7,매출총이익,"5,163,056","5,222,845","6,561,958",
8,매출액,"25,605,529","25,228,013","29,244,221",
