,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 E1,8.45,8.01,5.28,
1,매출총이익,"3,892","3,144","2,719",
2,매출액,"46,083","39,276","51,523",
3,펼치기 유틸리티,5.43,10.68,1.00,
4,매출총이익,"59,699","109,708","11,528",
5,매출액,"1,098,573","1,027,571","1,154,269",
6,펼치기 코스피,21.57,22.22,23.89,
7,매출총이익,"5,163,056","5,222,845","6,561,958",
8,매출액,"25,605,529","25,228,013","29,244,221",
