Key,Data
전일 종가,99.68
금일 변동,99.6-102.35
매출,14.15B
금일 시가,100.29
52주 변동폭,85-152.2
주당순이익,1.47
거래량,"2,576,078"
총 시가,62.12B
배당금,"1.88
(1.85%)"
평균 거래량,"3,705,383"
주가수익비율,69.17
베타,0.68
1년 변동률,-32.36%
발행주식수,"610,730,727"
다음 실적 발표일,2022년 8월 02일
