Key,Data
전일 종가,74.02
금일 변동,73.61-75.97
매출,2.52B
금일 시가,74.54
52주 변동폭,71.86-94.32
주당순이익,3.57
거래량,"2,026,790"
총 시가,29.46B
배당금,"2.50
(3.30%)"
평균 거래량,"1,593,322"
주가수익비율,20.72
베타,0.85
1년 변동률,-1.31%
발행주식수,"388,914,453"
다음 실적 발표일,2022년 7월 26일
