Key,Data
전일 종가,101.15
금일 변동,101.6-105.74
매출,31.57B
금일 시가,103.1
52주 변동폭,85.64-112.48
주당순이익,5.78
거래량,"6,017,943"
총 시가,159.52B
배당금,"5.00
(4.86%)"
평균 거래량,"6,160,271"
주가수익비율,17.81
베타,0.66
1년 변동률,5.64%
발행주식수,"1,550,110,316"
다음 실적 발표일,2022년 7월 21일
