Key,Data
전일 종가,"2,151.82"
금일 변동,"2,079-2,176.38"
매출,477.75B
금일 시가,"2,169.22"
52주 변동폭,"2,048.11-3,773"
주당순이익,41.36
거래량,"5,279,566"
총 시가,1.09T
배당금,"N/A
(N/A)"
평균 거래량,"3,994,907"
주가수익비율,52.03
베타,1.27
1년 변동률,-32.82%
발행주식수,"508,720,481"
다음 실적 발표일,2022년 7월 28일
