Key,Data
전일 종가,65.03
금일 변동,63.25-66.15
매출,3.77B
금일 시가,65.65
52주 변동폭,59.89-96.49
주당순이익,1.92
거래량,"1,315,827"
총 시가,16.32B
배당금,"N/A
(N/A)"
평균 거래량,"1,222,750"
주가수익비율,33.91
베타,1.5
1년 변동률,-14.98%
발행주식수,"250,142,472"
다음 실적 발표일,2022년 8월 03일
