Key,Data
전일 종가,63.07
금일 변동,61.12-63.69
매출,3.98B
금일 시가,63.43
52주 변동폭,56.36-136.81
주당순이익,-5.73
거래량,"2,306,722"
총 시가,7.13B
배당금,"N/A
(N/A)"
평균 거래량,"3,295,885"
주가수익비율,-
베타,2.21
1년 변동률,-51.37%
발행주식수,"115,063,322"
다음 실적 발표일,2022년 8월 03일
