Key,Data
전일 종가,236.44
금일 변동,235.48-243.63
매출,3.63B
금일 시가,240
52주 변동폭,154.22-291.48
주당순이익,2.38
거래량,"868,057"
총 시가,28.45B
배당금,"1.58
(0.67%)"
평균 거래량,"1,119,921"
주가수익비율,99.41
베타,1.41
1년 변동률,48.16%
발행주식수,"117,112,692"
다음 실적 발표일,2022년 8월 10일
