Key,Data
전일 종가,163.45
금일 변동,159.69-166.43
매출,1.35B
금일 시가,165.59
52주 변동폭,159.69-257.03
주당순이익,7.11
거래량,"1,640,622"
총 시가,18.14B
배당금,"N/A
(N/A)"
평균 거래량,"749,755"
주가수익비율,23.27
베타,1.02
1년 변동률,-25.22%
발행주식수,"109,544,796"
다음 실적 발표일,2022년 7월 28일
