Key,Data
전일 종가,149.59
금일 변동,147.97-150.35
매출,35.33B
금일 시가,150.21
52주 변동폭,139.74-206.81
주당순이익,9.6
거래량,"2,728,440"
총 시가,84.96B
배당금,"5.96
(3.99%)"
평균 거래량,"3,436,644"
주가수익비율,15.55
베타,0.9
1년 변동률,-26.95%
발행주식수,"569,058,849"
다음 실적 발표일,2022년 7월 26일
