Key,Data
전일 종가,84.7
금일 변동,83.39-85.42
매출,6.47B
금일 시가,85
52주 변동폭,80.72-105.73
주당순이익,2.98
거래량,"1,305,828"
총 시가,11.85B
배당금,"2.80
(3.30%)"
평균 거래량,"1,294,319"
주가수익비율,28.43
베타,0.82
1년 변동률,-9.67%
발행주식수,"139,442,407"
다음 실적 발표일,2022년 7월 25일
