Key,Data
전일 종가,159.71
금일 변동,158.48-162.78
매출,2.73B
금일 시가,161.42
52주 변동폭,156.94-224.95
주당순이익,2.75
거래량,"720,080"
총 시가,26.22B
배당금,"4.60
(2.88%)"
평균 거래량,"956,406"
주가수익비율,58.08
베타,0.89
1년 변동률,-8.53%
발행주식수,"163,217,903"
다음 실적 발표일,2022년 8월 01일
