Key,Data
전일 종가,31.72
금일 변동,31.92-32.75
매출,11.37B
금일 시가,32.09
52주 변동폭,30.06-39.09
주당순이익,2.15
거래량,"3,962,813"
총 시가,15.52B
배당금,"1.25
(3.87%)"
평균 거래량,"5,045,830"
주가수익비율,14.74
베타,0.69
1년 변동률,-15.27%
발행주식수,"479,875,255"
다음 실적 발표일,2022년 6월 30일
