Key,Data
전일 종가,67.15
금일 변동,66.9-68.12
매출,2.45B
금일 시가,67.79
52주 변동폭,62.74-75.4
주당순이익,1.02
거래량,"4,085,541"
총 시가,40.93B
배당금,"2.964
(4.36%)"
평균 거래량,"3,955,230"
주가수익비율,66.64
베타,0.73
1년 변동률,2.12%
발행주식수,"602,061,425"
다음 실적 발표일,2022년 8월 02일
