Key,Data
전일 종가,33.16
금일 변동,33.08-34.48
매출,5.09B
금일 시가,33.64
52주 변동폭,27.41-37.66
주당순이익,0.71
거래량,"2,242,188"
총 시가,14.33B
배당금,"0.08
(0.23%)"
평균 거래량,"2,811,160"
주가수익비율,48.15
베타,1.58
1년 변동률,1.6%
발행주식수,"417,914,089"
다음 실적 발표일,2022년 8월 04일
