Key,Data
전일 종가,111.92
금일 변동,110.97-113.89
매출,6.65B
금일 시가,113
52주 변동폭,108.54-139.85
주당순이익,5.51
거래량,"1,560,522"
총 시가,32.46B
배당금,"2.28
(2.04%)"
평균 거래량,"1,934,910"
주가수익비율,20.32
베타,1.03
1년 변동률,-6.51%
발행주식수,"285,163,809"
다음 실적 발표일,2022년 8월 04일
