Key,Data
전일 종가,95.9
금일 변동,95.7-97.89
매출,9.2B
금일 시가,96.48
52주 변동폭,93.45-139.79
주당순이익,7.2
거래량,"3,232,982"
총 시가,54.71B
배당금,"1.52
(1.56%)"
평균 거래량,"3,474,116"
주가수익비율,13.55
베타,0.94
1년 변동률,-13.73%
발행주식수,"560,435,917"
다음 실적 발표일,2022년 8월 04일
