Key,Data
전일 종가,129.66
금일 변동,125.8-130.37
매출,90.29B
금일 시가,130.18
52주 변동폭,114.56-152.84
주당순이익,5.59
거래량,"6,873,209"
총 시가,115.56B
배당금,"6.60
(5.14%)"
평균 거래량,"4,960,118"
주가수익비율,22.99
베타,0.98
1년 변동률,-11.23%
발행주식수,"899,435,325"
다음 실적 발표일,2022년 7월 18일
