,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2016-09-12,1000000,[0],1000000,,0,0,0,0
2016-09-13,16289,[42],1000000,Buy,0.0,0.0,,
2016-09-19,16289,[42],1025885,Hold,279.0677837444496,0.0,,
2016-09-20,16289,[42],1020467,Hold,152.0303127603017,0.5281293712258196,,
2016-09-21,16289,[42],1027733,Hold,203.25797940617446,0.5281293712258196,,
2016-09-22,16289,[42],1019627,Hold,103.28645488571225,0.7887262547762891,,
2016-09-23,16289,[42],1027523,Hold,146.1870080596312,0.7887262547762891,,
2016-09-26,16289,[42],1021307,Hold,73.26787315032813,0.7887262547762891,,
2016-09-27,16289,[42],1013411,Hold,38.28761099959272,1.393552605589195,,
2016-09-28,16289,[42],1013201,Hold,34.87488814831674,1.413985928251793,,
2016-09-29,16289,[42],1021517,Hold,57.94592981100466,1.413985928251793,,
2016-09-30,16289,[42],1009043,Hold,20.027151416609602,1.8185657169712366,,
2016-10-04,16289,[42],1020887,Hold,40.91193071236474,1.8185657169712366,,
2016-10-05,16289,[42],1029833,Hold,59.44233020036409,1.8185657169712366,,
2016-10-06,16289,[42],1032101,Hold,61.693206679079736,1.8185657169712366,,
2016-10-07,16289,[42],1028993,Hold,51.78237264115702,1.8185657169712366,,
2016-10-10,16289,[42],1025045,Hold,38.05170871024464,1.8185657169712366,,
2016-10-11,16289,[42],1040627,Hold,65.07434372161363,1.8185657169712366,,
2016-10-12,16289,[42],1033361,Hold,49.07339650614679,1.8185657169712366,,
2016-10-13,16289,[42],1031891,Hold,44.71957879991702,1.8185657169712366,,
2016-10-14,16289,[42],1038107,Hold,53.20102668752145,1.8185657169712366,,
2016-10-17,16289,[42],1040207,Hold,50.846335785071915,1.8185657169712366,,
2016-10-18,16289,[42],1037099,Hold,44.676970840066076,1.8185657169712366,,
2016-10-19,16289,[42],1030421,Hold,34.396595362244334,1.8185657169712366,,
2016-10-20,16289,[42],1034789,Hold,38.885043887240876,1.8185657169712366,,
2016-10-21,16289,[42],1040627,Hold,45.165796916754886,1.8185657169712366,,
2016-10-24,16289,[42],1046423,Hold,48.34250863115126,1.8185657169712366,,
2016-10-25,16289,[42],1061795,Hold,66.35771508241189,1.8185657169712366,,
2016-10-26,16289,[42],1050371,Hold,50.33066752507516,1.8185657169712366,,
2016-10-27,16289,[42],1052681,Hold,51.65324073645778,1.8185657169712366,,
2016-10-28,16289,[42],1052681,Hold,50.28655758528886,1.8185657169712366,,
2016-10-31,16289,[42],1051001,Hold,44.850923662922426,1.8185657169712366,,
2016-11-01,16289,[42],1046213,Hold,39.06787508703866,1.8185657169712366,,
2016-11-02,16289,[42],1034999,Hold,27.915457880308715,2.5236509872433,,
2016-11-03,16289,[42],1017359,Hold,12.840072102837553,4.184988627748294,,
2016-11-04,16289,[42],1020677,Hold,15.136248154325326,4.184988627748294,,
2016-11-07,16289,[42],1030841,Hold,21.893769891815374,4.184988627748294,,
2016-11-08,16289,[42],1031681,Hold,22.106362862804076,4.184988627748294,,
2016-11-09,16289,[42],1003835,Hold,2.438034944333678,5.458680818802123,,
2016-11-10,16289,[42],1064903,Hold,47.55434663637259,5.458680818802123,,
2016-11-11,16289,[42],1049111,Hold,33.86398951009939,5.458680818802123,,
2016-11-14,16289,[42],1066163,Hold,44.94400633466047,5.458680818802123,,
2016-11-15,16289,[42],1049741,Hold,31.896779955373855,5.458680818802123,,
2016-11-16,16289,[42],1063055,Hold,40.96804049072453,5.458680818802123,,
2016-11-17,16289,[42],1075529,Hold,49.58220591327394,5.458680818802123,,
2016-11-18,16289,[42],1085483,Hold,56.33842774621047,5.458680818802123,,
2016-11-21,16289,[42],1086323,Hold,53.992783054076284,5.458680818802123,,
2016-11-22,16289,[42],1091069,Hold,56.52812423991882,5.458680818802123,,
2016-11-23,16289,[42],1093589,Hold,57.387004471715365,5.458680818802123,,
2016-11-24,16289,[42],1091489,Hold,54.916193159582626,5.458680818802123,,
2016-11-25,16289,[42],1091489,Hold,54.00256006245736,5.458680818802123,,
2016-11-28,16289,[42],1085903,Hold,47.79467693895063,5.458680818802123,,
2016-11-29,16289,[42],1081745,Hold,44.43984564737708,5.458680818802123,,
2016-11-30,16289,[42],1086323,Hold,46.601889053864156,5.458680818802123,,
2016-12-01,16289,[42],1070111,Hold,36.228830797198476,5.458680818802123,,
2016-12-02,16289,[42],1056419,Hold,28.05898429655782,5.458680818802123,,
2016-12-05,16289,[42],1058267,Hold,27.900497381979307,5.458680818802123,,
2016-12-06,16289,[42],1064693,Hold,30.88948865118808,5.458680818802123,,
2016-12-07,16289,[42],1067423,Hold,31.906323950444015,5.458680818802123,,
2016-12-08,16289,[42],1074899,Hold,35.394164948492346,5.458680818802123,,
2016-12-09,16289,[42],1080065,Hold,37.63884913330002,5.458680818802123,,
2016-12-12,16289,[42],1087121,Hold,39.80097445161243,5.458680818802123,,
2016-12-13,16289,[42],1084433,Hold,37.93134938661436,5.458680818802123,,
2016-12-14,16289,[42],1101065,Hold,45.916572301007676,5.458680818802123,,
2016-12-15,16289,[42],1105643,Hold,47.69160463035354,5.458680818802123,,
2016-12-16,16289,[42],1113287,Hold,51.03219332933379,5.458680818802123,,
2016-12-19,16289,[42],1110389,Hold,47.69702078742417,5.458680818802123,,
2016-12-20,16289,[42],1116437,Hold,50.09232733267102,5.458680818802123,,
2016-12-21,16289,[42],1124333,Hold,53.37924500109415,5.458680818802123,,
2016-12-22,16289,[42],1128659,Hold,54.86543224914144,5.458680818802123,,
2016-12-23,16289,[42],1128659,Hold,54.20277530928599,5.458680818802123,,
2016-12-26,16289,[42],1128449,Hold,52.20790423221548,5.458680818802123,,
2016-12-27,16289,[42],1136135,Hold,55.19125414895012,5.458680818802123,,
2016-12-28,16289,[42],1143233,Hold,57.87382659070413,5.458680818802123,,
2016-12-29,16289,[42],1129079,Hold,50.726185244558366,5.458680818802123,,
2017-01-02,16289,[42],1123913,Hold,46.33028820935383,5.458680818802123,,
2017-01-03,16289,[42],1126811,Hold,47.05627819872158,5.458680818802123,,
2017-01-04,16289,[42],1130129,Hold,47.945877861412356,5.458680818802123,,
2017-01-05,16289,[42],1117235,Hold,42.169540506780834,5.458680818802123,,
2017-01-06,16289,[42],1122863,Hold,43.997777586539314,5.458680818802123,,
2017-01-09,16289,[42],1150289,Hold,53.64157959383713,5.458680818802123,,
2017-01-10,16289,[42],1138025,Hold,48.18186843477794,5.458680818802123,,
2017-01-11,16289,[42],1147559,Hold,51.46527825812856,5.458680818802123,,
2017-01-12,16289,[42],1136345,Hold,46.58030276472624,5.458680818802123,,
2017-01-13,16289,[42],1130969,Hold,44.08337369698692,5.458680818802123,,
2017-01-16,16289,[42],1134077,Hold,43.97593427825317,5.458680818802123,,
2017-01-17,16289,[42],1129709,Hold,41.97988166803861,5.458680818802123,,
2017-01-18,16289,[42],1120973,Hold,38.49167765017523,5.458680818802123,,
2017-01-19,16289,[42],1131809,Hold,41.95438602646249,5.458680818802123,,
2017-01-20,16289,[42],1128281,Hold,40.336803165512734,5.458680818802123,,
2017-01-23,16289,[42],1119125,Hold,36.18852364901897,5.458680818802123,,
2017-01-24,16289,[42],1122233,Hold,36.90528321615425,5.458680818802123,,
2017-01-25,16289,[42],1134077,Hold,40.519710066389926,5.458680818802123,,
2017-01-26,16289,[42],1139873,Hold,42.09955672483196,5.458680818802123,,
2017-01-31,16289,[42],1132019,Hold,37.850566784458216,5.458680818802123,,
2017-02-01,16289,[42],1131599,Hold,37.4081692443345,5.458680818802123,,
2017-02-02,16289,[42],1120973,Hold,33.84095440468868,5.458680818802123,,
2017-02-03,16289,[42],1125131,Hold,34.8297135349471,5.458680818802123,,
2017-02-06,16289,[42],1118495,Hold,32.05596035307457,5.458680818802123,,
2017-02-07,16289,[42],1127231,Hold,34.361584312153305,5.458680818802123,,
2017-02-08,16289,[42],1132397,Hold,35.605941859172205,5.458680818802123,,
2017-02-09,16289,[42],1133237,Hold,35.57527101353901,5.458680818802123,,
2017-02-10,16289,[42],1144031,Hold,38.43850997201699,5.458680818802123,,
2017-02-13,16289,[42],1147769,Hold,38.63181730333245,5.458680818802123,,
2017-02-14,16289,[42],1138655,Hold,35.76706685157238,5.458680818802123,,
2017-02-15,16289,[42],1144031,Hold,37.002802481992944,5.458680818802123,,
2017-02-16,16289,[42],1153187,Hold,39.285861263182696,5.458680818802123,,
2017-02-17,16289,[42],1155035,Hold,39.509154657412004,5.458680818802123,,
2017-02-20,16289,[42],1165871,Hold,41.61265483369574,5.458680818802123,,
2017-02-21,16289,[42],1163771,Hold,40.736011610819745,5.458680818802123,,
2017-02-22,16289,[42],1165661,Hold,40.95252701160845,5.458680818802123,,
2017-02-23,16289,[42],1158983,Hold,38.870673801774934,5.458680818802123,,
2017-02-24,16289,[42],1147769,Hold,35.64549933593428,5.458680818802123,,
2017-02-27,16289,[42],1155035,Hold,36.77143487852887,5.458680818802123,,
2017-02-28,16289,[42],1151717,Hold,35.67266606998398,5.458680818802123,,
2017-03-02,16289,[42],1171457,Hold,40.18340316362878,5.458680818802123,,
2017-03-03,16289,[42],1178303,Hold,41.649141709178814,5.458680818802123,,
2017-03-06,16289,[42],1182461,Hold,41.844507009666174,5.458680818802123,,
2017-03-07,16289,[42],1172297,Hold,39.051180209025425,5.458680818802123,,
2017-03-08,16289,[42],1167719,Hold,37.67705335007889,5.458680818802123,,
2017-03-09,16289,[42],1183091,Hold,41.16538931023117,5.458680818802123,,
2017-03-10,16289,[42],1184351,Hold,41.199903065548796,5.458680818802123,,
2017-03-13,16289,[42],1174565,Hold,38.08231222865561,5.458680818802123,,
2017-03-14,16289,[42],1178723,Hold,38.814005970762054,5.458680818802123,,
2017-03-15,16289,[42],1174985,Hold,37.69647210759315,5.458680818802123,,
2017-03-16,16289,[42],1172087,Hold,36.79049415281204,5.458680818802123,,
2017-03-17,16289,[42],1168139,Hold,35.65909982680975,5.458680818802123,,
2017-03-20,16289,[42],1155245,Hold,32.14090543922201,5.458680818802123,,
2017-03-21,16289,[42],1154237,Hold,31.726137651176224,5.458680818802123,,
2017-03-22,16289,[42],1138445,Hold,28.118557552959533,5.458680818802123,,
2017-03-23,16289,[42],1148399,Hold,30.088506401869154,5.458680818802123,,
2017-03-24,16289,[42],1148399,Hold,29.911326073676058,5.458680818802123,,
2017-03-27,16289,[42],1128869,Hold,25.324268044428266,5.458680818802123,,
2017-03-28,16289,[42],1141973,Hold,27.886371227962,5.458680818802123,,
2017-03-29,16289,[42],1150919,Hold,29.578219016801064,5.458680818802123,,
2017-03-30,16289,[42],1157345,Hold,30.73795605525451,5.458680818802123,,
2017-03-31,16289,[42],1156715,Hold,30.433191397018167,5.458680818802123,,
2017-04-03,16289,[42],1158773,Hold,30.337971044993516,5.458680818802123,,
2017-04-04,16289,[42],1152347,Hold,28.880069787037232,5.458680818802123,,
2017-04-05,16289,[42],1162721,Hold,30.7911500046822,5.458680818802123,,
2017-04-06,16289,[42],1161083,Hold,30.29496458785932,5.458680818802123,,
2017-04-07,16289,[42],1168979,Hold,31.692958788655567,5.458680818802123,,
2017-04-10,16289,[42],1180613,Hold,33.45345089988469,5.458680818802123,,
2017-04-11,16289,[42],1182671,Hold,33.67317691190648,5.458680818802123,,
2017-04-12,16289,[42],1173347,Hold,31.68351717012099,5.458680818802123,,
2017-04-13,16289,[42],1159193,Hold,28.806641582773306,5.458680818802123,,
2017-04-14,16289,[42],1158185,Hold,28.463610681331232,5.458680818802123,,
2017-04-17,16289,[42],1158605,Hold,28.09763388168294,5.458680818802123,,
2017-04-18,16289,[42],1176455,Hold,31.26988347824371,5.458680818802123,,
2017-04-19,16289,[42],1172717,Hold,30.413345109943137,5.458680818802123,,
2017-04-20,16289,[42],1174565,Hold,30.596755464902504,5.458680818802123,,
2017-04-21,16289,[42],1177883,Hold,31.048229835045472,5.458680818802123,,
2017-04-24,16289,[42],1182251,Hold,31.364447364610946,5.458680818802123,,
2017-04-25,16289,[42],1184141,Hold,31.545700106698995,5.458680818802123,,
2017-04-26,16289,[42],1189517,Hold,32.35091246922064,5.458680818802123,,
2017-04-27,16289,[42],1194935,Hold,33.157046522461386,5.458680818802123,,
2017-04-28,16289,[42],1203461,Hold,34.51223468136986,5.458680818802123,,
2017-05-02,16289,[42],1212575,Hold,35.42434246077599,5.458680818802123,,
2017-05-04,16289,[42],1212785,Hold,35.11029191158646,5.458680818802123,,
2017-05-08,16289,[42],1215893,Hold,34.95738755483701,5.458680818802123,,
2017-05-10,16289,[42],1227527,Hold,36.58449262530268,5.458680818802123,,
2017-05-11,16289,[42],1220261,Hold,35.186907860038794,5.458680818802123,,
2017-05-12,16289,[42],1216733,Hold,34.43025544387503,5.458680818802123,,
2017-05-15,16289,[42],1219211,Hold,34.35070590255131,5.458680818802123,,
2017-05-16,16289,[42],1212575,Hold,33.10727710246808,5.458680818802123,,
2017-05-17,16289,[42],1209887,Hold,32.51795330716336,5.458680818802123,,
2017-05-18,16289,[42],1196993,Hold,30.29664022189127,5.458680818802123,,
2017-05-19,16289,[42],1209887,Hold,32.21861192302953,5.458680818802123,,
2017-05-22,16289,[42],1207997,Hold,31.481674834436603,5.458680818802123,,
2017-05-23,16289,[42],1218413,Hold,32.97644205364978,5.458680818802123,,
2017-05-24,16289,[42],1223999,Hold,33.703285306094386,5.458680818802123,,
2017-05-25,16289,[42],1225049,Hold,33.71509676000184,5.458680818802123,,
2017-05-26,16289,[42],1235423,Hold,35.178953004120814,5.458680818802123,,
2017-05-29,16289,[42],1238951,Hold,35.25024498141429,5.458680818802123,,
2017-05-30,16289,[42],1241261,Hold,35.446992493606345,5.458680818802123,,
2017-05-31,16289,[42],1238111,Hold,34.809734899958954,5.458680818802123,,
