,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2017-07-05,3524,[100],1012524,Hold,9.316363820320372,1.3976,,
2017-07-06,3524,[100],1014024,Hold,10.269130594479382,1.3976,,
2017-07-07,3524,[100],1007024,Hold,4.9384431099365855,1.3976,,
2017-07-10,3524,[100],1013024,Hold,8.799932755797935,1.3976,,
2017-07-11,3524,[100],1013024,Hold,8.639065062329433,1.3976,,
2017-07-12,3524,[100],1012524,Hold,8.147448243813148,1.3976,,
2017-07-13,3524,[100],1019024,Hold,12.365343323712864,1.3976,,
2017-07-14,3524,[100],1021024,Hold,13.492901683190993,1.3976,,
2017-07-17,3524,[100],1025524,Hold,15.72210044470439,1.3976,,
2017-07-18,3524,[100],1025524,Hold,15.458371601333187,1.3976,,
2017-07-19,3524,[100],1024524,Hold,14.573938688179044,1.3976,,
2017-07-20,3524,[100],1030524,Hold,18.09059436226972,1.3976,,
2017-07-21,3524,[100],1032024,Hold,18.734996860490337,1.3976,,
2017-07-24,3524,[100],1028524,Hold,15.794925769540423,1.3976,,
2017-07-25,3524,[100],1029524,Hold,16.134742522027466,1.3976,,
2017-07-26,3524,[100],1025524,Hold,13.62902215862385,1.3976,,
2017-07-27,3524,[100],1034024,Hold,18.20969448295744,1.3976,,
2017-07-28,3524,[100],1028524,Hold,14.880641342931277,1.3976,,
2017-07-31,3524,[100],1028024,Hold,13.998343404085123,1.3976,,
2017-08-01,3524,[100],1028524,Hold,14.066277639587144,1.3976,,
2017-08-02,3524,[100],1031524,Hold,15.419170623695887,1.3976,,
2017-08-03,3524,[100],1031024,Hold,14.95789033298951,1.3976,,
2017-08-04,3524,[100],1033024,Hold,15.766779809297326,1.3976,,
2017-08-07,3524,[100],1032024,Hold,14.679404113057437,1.3976,,
2017-08-08,3524,[100],1032524,Hold,14.733145878055787,1.3976,,
2017-08-09,3524,[100],1028524,Hold,12.678307251880994,1.3976,,
2017-08-10,3524,[100],1029024,Hold,12.753488607482911,1.3976,,
2017-08-11,3524,[100],1015524,Hold,6.598008257051147,1.7891267514100255,,
2017-08-14,3524,[100],1021024,Hold,8.703392668135091,1.7891267514100255,,
2017-08-16,3524,[100],1027024,Hold,11.032651893282441,1.7891267514100255,,
2017-08-17,3524,[100],1026524,Hold,10.699587563066082,1.7891267514100255,,
2017-08-18,3524,[100],1014524,Hold,5.696477291910473,1.885836305540297,,
2017-08-21,3524,[100],1010524,Hold,3.976186836269635,2.2726745220613838,,
2017-08-22,3524,[100],1014524,Hold,5.4601467211503385,2.2726745220613838,,
2017-08-23,3524,[100],1021024,Hold,7.890006653544934,2.2726745220613838,,
