Date,Open,Close,High,Low,Volume,Signal
2016-09-13,23340,23721,23721,23340,1189,
2016-09-19,23736,24038,24112,23721,644,Buy
2016-09-20,24038,23909,24038,23870,61,
2016-09-21,23904,24082,24082,23830,749,
2016-09-22,24082,23889,24132,23746,792,
2016-09-23,23963,24077,24082,23963,584,
2016-09-26,24577,23929,24577,23865,145,
2016-09-27,23889,23741,23894,23696,549,
2016-09-28,23815,23736,23815,23726,998,
2016-09-29,23850,23934,23934,23835,287,
2016-09-30,23736,23637,23736,23588,343,
2016-10-04,23934,23919,23988,23874,1368,
2016-10-05,24043,24132,24132,24043,799,
2016-10-06,24132,24186,24250,24132,2633,
2016-10-07,24186,24112,24211,24077,180,
2016-10-10,24132,24018,24161,23988,492,
2016-10-11,24018,24389,24389,24018,4060,
2016-10-12,24428,24216,24428,24181,200,
2016-10-13,24270,24181,24270,24033,696,
2016-10-14,24181,24329,24329,24087,393,
2016-10-17,24389,24379,24404,24310,257,Buy
2016-10-18,24320,24305,24354,24216,447,
2016-10-19,24305,24146,24305,24146,651,
2016-10-20,24295,24250,24295,24250,111,
2016-10-21,24231,24389,24428,24231,13566,
2016-10-24,24493,24527,24621,24493,2158,
2016-10-25,24626,24893,24977,24626,2267,
2016-10-26,24596,24621,24626,24478,349,
2016-10-27,24384,24676,24676,24384,188,
2016-10-28,24725,24676,24765,24676,14672,
2016-10-31,24552,24636,24636,24404,49,
2016-11-01,24636,24522,24636,24428,767,
2016-11-02,24527,24255,24527,24240,1357,
2016-11-03,24122,23835,24122,23835,1503,
2016-11-04,24033,23914,24033,23845,49,
2016-11-07,24057,24156,24171,24038,1185,
2016-11-08,24295,24176,24295,24141,2148,
2016-11-09,23776,23513,24329,23489,1746,
2016-11-10,24329,24967,24967,24329,1410,
2016-11-11,25022,24591,25022,24433,1122,
2016-11-14,24591,24997,25012,24591,1263,
2016-11-15,24997,24606,24997,24369,1901,Buy
2016-11-16,25121,24923,25121,24789,1339,
2016-11-17,24923,25220,25220,24923,1579,
2016-11-18,25318,25457,25491,25318,872,
2016-11-21,25427,25477,25477,25279,429,
2016-11-22,25417,25590,25590,25417,291,
2016-11-23,25600,25650,25650,25521,434,
2016-11-24,25605,25600,25640,25536,605,
2016-11-25,25600,25600,25694,25516,378,
2016-11-28,25472,25467,25472,25348,880,
2016-11-29,25467,25368,25467,25239,80,
2016-11-30,25368,25477,25477,25343,2334,
2016-12-01,25477,25091,25477,25091,345,
2016-12-02,24809,24765,24809,24517,3430,
2016-12-05,25506,24809,25506,24636,7505,
2016-12-06,24923,24962,24987,24923,167,
2016-12-07,24972,25027,25096,24962,855,
2016-12-08,25190,25205,25210,25027,345,
2016-12-09,25165,25328,25328,25116,365,
2016-12-12,25457,25496,25650,25378,507,
2016-12-13,25496,25432,25496,25239,488,
2016-12-14,25437,25828,25828,25437,712,
2016-12-15,25828,25937,26035,25828,398,
2016-12-16,25843,26119,26129,25843,741,Buy
2016-12-19,26095,26050,26095,26006,2401,
2016-12-20,25852,26194,26317,25852,295,
2016-12-21,26194,26382,26436,26194,330,
2016-12-22,26332,26485,26485,26317,335,
2016-12-23,26535,26485,26535,26426,687,
2016-12-26,27257,26480,27257,26327,1650,
2016-12-27,26901,26663,26901,26446,670,
2016-12-28,26663,26832,26841,26663,3397,
2016-12-29,26782,26495,26782,26495,795,
2017-01-02,26515,26372,26515,26194,584,
2017-01-03,26372,26441,26441,26248,1976,
2017-01-04,26490,26520,26540,26406,1079,
2017-01-05,26396,26213,26396,26213,906,
2017-01-06,26194,26347,26406,26189,322,
