,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG디스플레이,N/A,N/A,7.42,11.59
1,보통주수정주가(기말),"16,250","18,550","24,600","17,350"
2,EPS,"-7,908",-265,"3,315","1,497"
3,펼치기 디스플레이,N/A,N/A,14.02,9.93
4,보통주시가총액(기말),"204,237","281,944","280,143","222,635"
5,당기순이익(지배),"-28,455",-205,"19,959","12,652"
6,펼치기 코스피,19.79,22.30,11.05,9.92
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),"714,894","847,907","1,905,845","1,837,890"
