,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG에너지솔루션,,,,102.26
1,보통주수정주가(기말),,,,"400,500"
2,EPS,,"-2,278","3,963","3,916"
3,펼치기 IT가전,,33.23,45.41,29.80
4,보통주시가총액(기말),,"831,148","1,172,140","1,948,085"
5,당기순이익(지배),,"25,016","25,814","62,950"
6,펼치기 코스피,,22.30,11.05,9.92
7,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),,"847,907","1,905,845","1,837,890"
