,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 KG케미칼,1.59,7.19,5.71,
1,보통주수정주가(기말),"12,000","23,850","30,750","38,750"
2,EPS,"7,569","3,319","5,389",
3,펼치기 에너지,52.81,N/A,13.35,5.73
4,보통주시가총액(기말),"378,728","381,336","447,196","458,624"
5,당기순이익(지배),"7,172","-34,894","33,499","72,590"
6,펼치기 코스피,19.79,22.30,11.05,9.92
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),"714,894","847,907","1,905,845","1,837,890"
