,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK스퀘어,,,4.12,
1,보통주수정주가(기말),,,"66,400","44,400"
2,EPS,,,"16,134",
3,펼치기 반도체,,18.23,12.02,8.07
4,보통주시가총액(기말),,"6,134,068","6,271,738","5,350,761"
5,당기순이익(지배),,"336,562","521,469","634,436"
6,펼치기 코스피,,22.30,11.05,9.92
7,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),,"847,907","1,905,845","1,837,890"
