,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DB하이텍,11.74,13.67,10.21,5.94
1,보통주수정주가(기말),"27,600","51,000","72,700","69,400"
2,EPS,"2,351","3,730","7,119","11,691"
3,펼치기 반도체,17.59,18.23,12.02,8.07
4,보통주시가총액(기말),"4,258,613","6,134,068","6,271,738","5,350,761"
5,당기순이익(지배),"242,047","336,562","521,469","634,436"
6,펼치기 코스피,19.79,22.30,11.05,9.92
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),"714,894","847,907","1,905,845","1,837,890"
