,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG전자,416.75,12.40,24.19,6.33
1,보통주수정주가(기말),"72,100","135,000","138,000","107,500"
2,EPS,173,"10,885","5,705","16,986"
3,펼치기 IT가전,67.18,33.23,45.41,29.80
4,보통주시가총액(기말),"366,145","831,148","1,172,140","1,948,085"
5,당기순이익(지배),"5,450","25,016","25,814","62,950"
6,펼치기 코스피,19.79,22.30,11.05,9.92
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),"714,894","847,907","1,905,845","1,837,890"
