,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 IHQ,N/A,N/A,N/A,
1,보통주수정주가(기말),"1,745","1,610","1,475","1,010"
2,EPS,-453,-125,-69,
3,"펼치기 미디어,교육",N/A,N/A,41.84,20.95
4,보통주시가총액(기말),"243,664","331,944","511,601","410,182"
5,당기순이익(지배),"-1,005","-7,882","12,101","15,888"
6,펼치기 코스피,19.79,22.30,11.05,9.92
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,당기순이익(지배),"714,894","847,907","1,905,845","1,837,890"
