종목,현재가,고가,저가,변동,변동 %,거래량,시간
옴니콤,77.01,77.25,75.89,+1.48,+1.96%,1.19M,14/05
울타 뷰티,395.89,396.64,384.84,+18.04,+4.77%,708.66K,14/05
워터스 코퍼레이션,320.42,326.32,316.91,+6.47,+2.06%,254.03K,14/05
원오크,64.65,64.97,63.58,+1.86,+2.96%,2.15M,14/05
월그린 부츠 얼라이언스,43.55,43.71,42.97,+0.39,+0.90%,5.74M,14/05
월마트,148.05,148.38,146.14,+0.57,+0.39%,6.58M,14/05
월트 디즈니,107.33,107.69,105.31,+3.02,+2.90%,16.64M,14/05
월풀,182.96,187.36,180.87,+0.50,+0.27%,693.44K,14/05
웨스턴 디지털,58.45,58.67,56.45,+2.90,+5.22%,3.11M,14/05
웨스트록,46.21,48.18,46.20,-1.25,-2.63%,4.45M,14/05
웨스팅하우스 에어브레이크 테크놀로지,86.79,88.16,86.40,+0.83,+0.97%,574.70K,14/05
웨이스트 매니지먼트,157.90,158.70,156.12,+2.42,+1.56%,2.05M,14/05
웨이어하우저,38.71,38.97,38.13,+0.49,+1.28%,3.49M,14/05
웰스 파고,42.64,43.19,42.28,+0.83,+1.99%,21.17M,14/05
웰타워,88.37,88.45,86.92,+1.29,+1.48%,2.22M,14/05
윈 리조트,66.27,66.72,60.73,+7.71,+13.17%,5.98M,14/05
윌리스,205.83,207.52,201.75,+4.47,+2.22%,669.92K,14/05
윌리엄스 컴퍼니스,34.79,35.42,34.62,+0.17,+0.49%,7.87M,14/05
유나이티드 항공,43.27,43.64,42.19,+1.77,+4.27%,13.66M,14/05
유나이티드렌탈,288.44,293.48,285.31,+5.42,+1.92%,566.51K,14/05
유나이티드파슬서비스,178.04,179.07,175.74,+0.91,+0.51%,3.59M,14/05
유나이티드헬스그룹,485.40,487.00,475.81,+6.60,+1.38%,2.40M,14/05
유니버셜 헬스 서비스,124.66,125.07,122.31,+1.17,+0.95%,666.79K,14/05
유니온 퍼시픽,230.76,232.35,226.71,+4.83,+2.14%,3.09M,14/05
이베이,46.65,46.76,45.72,+0.49,+1.06%,6.44M,14/05
이스트만케미컬,103.05,104.12,101.61,+2.02,+2.00%,731.55K,14/05
이튼,141.33,143.44,139.65,-0.42,-0.30%,2.81M,14/05
익스피다이터스,111.59,114.91,111.01,+0.45,+0.40%,1.86M,14/05
익스피디아,131.78,133.23,129.91,+3.44,+2.68%,2.89M,14/05
인베스코,17.84,18.00,17.57,+0.56,+3.24%,4.32M,14/05
인사이트 코퍼레이션,74.90,76.62,74.49,-0.61,-0.81%,1.02M,14/05
인터내셔널 페이퍼,47.79,48.48,47.46,+0.21,+0.44%,2.56M,14/05
인텔,43.60,43.84,42.97,+0.76,+1.77%,31.99M,14/05
인튜이트,371.76,376.95,360.61,+17.87,+5.05%,1.89M,14/05
인튜이티브 서지컬,223.69,224.68,215.00,+12.00,+5.67%,2.22M,14/05
인페이즈 에너지,157.79,159.46,146.00,+16.85,+11.96%,3.04M,14/05
일라이릴리,291.63,292.80,286.51,+0.81,+0.28%,2.34M,14/05
일렉트로닉 아츠,124.94,125.28,121.14,+3.99,+3.30%,3.66M,14/05
일루미나,233.56,235.63,221.81,+16.14,+7.42%,1.78M,14/05
일리노이 툴 웍스,207.64,209.24,204.45,+0.05,+0.02%,1.49M,14/05
잉가솔랜드,43.65,44.40,43.14,+0.72,+1.68%,2.59M,14/05
자이언스 뱅코프,53.56,54.44,52.85,+0.08,+0.15%,1.49M,14/05
자일럼,83.91,85.08,82.65,+1.12,+1.35%,911.84K,14/05
잭 헨리 앤 어소시에이츠,175.43,176.95,173.74,-0.44,-0.25%,511.43K,14/05
제너럴 다이내믹스,226.31,227.30,222.86,+2.82,+1.26%,1.56M,14/05
제너럴 모터스,38.21,38.49,36.07,+2.65,+7.45%,22.44M,14/05
제너럴 밀스,73.10,73.15,71.95,+0.89,+1.23%,3.36M,14/05
제너럴 일렉트릭,75.05,75.97,74.15,+1.77,+2.42%,5.17M,14/05
제뉴인 파츠,134.78,135.40,132.81,+2.08,+1.57%,621.09K,14/05
제이콥스 엔지니어링,133.08,133.82,131.47,+2.87,+2.20%,405.54K,14/05
제이피모건체이스,119.09,120.25,117.96,+1.05,+0.89%,10.33M,14/05
조에티스,165.33,168.01,164.20,+2.25,+1.38%,2.24M,14/05
존슨앤드존슨,176.85,178.89,175.80,-1.02,-0.57%,7.26M,14/05
존슨콘트롤즈,52.21,52.67,51.28,+1.20,+2.35%,3.73M,14/05
주니퍼 네트웍스,30.46,30.56,29.79,+0.79,+2.66%,5.68M,14/05
짐머 바이오메트,115.07,116.26,114.00,+1.97,+1.74%,1.14M,14/05
차터커뮤니케이션,471.39,475.87,458.69,+6.13,+1.32%,1.46M,14/05
찰스 슈왑,65.61,66.18,64.90,+0.66,+1.02%,6.79M,14/05
처브,206.54,207.43,204.71,+1.10,+0.54%,1.37M,14/05
처치앤드와이트,98.15,98.21,96.77,+0.72,+0.74%,924.61K,14/05
치폴레,"1,318.28","1,338.00","1,298.88",+37.16,+2.90%,218.27K,14/05
카니발,14.28,14.50,13.55,+1.02,+7.69%,40.64M,14/05
카디널 헬스,55.61,55.85,54.79,+0.63,+1.15%,2.23M,14/05
카맥스,91.66,95.56,91.26,+0.40,+0.44%,2.18M,14/05
캐리어,40.19,40.43,39.59,+1.09,+2.79%,5.07M,14/05
캐터필러,204.33,206.46,202.92,+1.30,+0.64%,2.32M,14/05
캐피탈 원,116.46,118.37,115.26,+2.91,+2.56%,3.04M,14/05
커민스,201.12,203.06,198.26,+1.68,+0.84%,1.04M,14/05
컨스텔레이션 브랜드,248.92,250.41,244.00,+3.70,+1.51%,1.52M,14/05
컴캐스트,41.48,41.90,41.05,+0.09,+0.22%,28.20M,14/05
케이든스디자인시스템,142.44,143.13,137.70,+6.62,+4.87%,1.82M,14/05
켈로그,73.01,73.27,72.18,+0.09,+0.12%,3.12M,14/05
켐벨 수프,50.55,50.57,49.84,+0.54,+1.08%,1.68M,14/05
코그니전트 테크놀로지 솔루션 A,73.38,74.73,72.98,-0.16,-0.22%,3.45M,14/05
코노코필립스,102.91,103.81,100.70,+3.31,+3.32%,6.53M,14/05
코닝,35.54,35.73,35.04,+0.33,+0.94%,4.03M,14/05
코르보,104.81,106.04,102.50,+3.65,+3.61%,1.33M,14/05
코르테바,55.47,55.94,54.40,+1.42,+2.63%,3.88M,14/05
코메리카,76.26,77.70,75.53,+0.22,+0.29%,1.26M,14/05
코스트코 홀세일,497.27,498.79,489.60,+11.09,+2.28%,2.25M,14/05
코카콜라,65.72,65.80,64.12,+1.21,+1.88%,15.46M,14/05
코테라 에너지,29.78,30.35,29.49,+0.71,+2.44%,7.61M,14/05
코파츠,111.96,112.34,108.95,+3.97,+3.68%,995.74K,14/05
콘 에디슨,95.40,95.46,93.75,+1.05,+1.11%,1.73M,14/05
콘아그라,35.89,35.99,35.56,+0.22,+0.62%,4.10M,14/05
콜게이트-팜올리브,78.40,78.43,76.98,+0.85,+1.10%,4.67M,14/05
콴타 서비시즈,112.57,114.71,110.78,+3.64,+3.34%,1.62M,14/05
쿠퍼 컴퍼니스,327.79,328.86,319.76,+10.13,+3.19%,334.10K,14/05
퀄컴,134.93,135.99,132.50,+3.16,+2.40%,9.25M,14/05
퀘스트 다이아그노스틱스,136.39,138.25,135.70,+0.30,+0.22%,809.05K,14/05
크라운 캐슬,176.49,176.54,172.08,+4.44,+2.58%,1.85M,14/05
크래프트 하인즈,44.29,44.31,43.01,+1.24,+2.88%,7.67M,14/05
크로거,53.39,54.70,53.26,-0.83,-1.53%,5.35M,14/05
클로락스,158.28,158.97,155.48,+1.25,+0.80%,1.11M,14/05
키사이트 테크놀로지,136.67,137.73,131.76,+6.06,+4.64%,960.97K,14/05
키코프,18.62,18.89,18.49,+0.09,+0.49%,7.43M,14/05
킨더 모건,18.74,18.86,18.50,+0.31,+1.68%,19.95M,14/05
킴벌리클라크,139.16,140.17,137.51,-0.45,-0.32%,1.41M,14/05
킴코 리얼티,23.25,23.28,22.39,+0.75,+3.33%,6.54M,14/05
타깃,219.73,223.30,217.81,+2.46,+1.13%,3.12M,14/05
타이슨 푸드,90.00,90.36,89.08,+0.46,+0.51%,1.63M,14/05
태피스트리,31.51,32.18,30.33,+0.88,+2.87%,6.16M,14/05
테라다인,107.35,108.42,103.19,+5.49,+5.39%,1.57M,14/05
테슬라,769.59,787.35,751.57,+41.59,+5.71%,30.49M,14/05
테이크투인터랙티브 소프트웨어,109.93,111.26,107.15,+3.72,+3.50%,3.22M,14/05
텍사스인스트루먼츠,169.74,170.68,167.58,+3.84,+2.31%,5.26M,14/05
텍스트론,63.36,64.10,62.42,+1.41,+2.28%,1.42M,14/05
텔레플렉스,278.46,279.35,268.20,+9.56,+3.56%,386.54K,14/05
트래블러스,172.78,174.23,171.37,-0.59,-0.34%,1.19M,14/05
트랙터 서플라이,201.85,201.97,198.17,+5.32,+2.71%,757.95K,14/05
트랜스다임 그룹,563.81,570.20,555.31,+13.88,+2.52%,263.11K,14/05
트레인 테크놀로지,137.98,138.32,135.37,+3.55,+2.64%,1.36M,14/05
트루이스트,46.31,47.00,45.87,-0.16,-0.34%,8.45M,14/05
트위터,40.72,42.00,40.01,-4.36,-9.67%,101.83M,14/05
티 로우 프라이스,121.96,123.47,120.40,+2.72,+2.28%,1.69M,14/05
티모바일,126.33,127.43,124.14,+2.30,+1.85%,3.68M,14/05
파이서브,96.17,97.14,94.43,+2.62,+2.80%,3.13M,14/05
파이어니어 내추럴 리소시스,261.89,263.18,256.77,+9.89,+3.92%,2.36M,14/05
파카,83.75,84.78,83.26,+0.26,+0.31%,1.45M,14/05
파카 하니핀,265.35,267.39,262.00,+4.91,+1.89%,809.59K,14/05
패스널,52.69,53.10,52.23,+0.46,+0.88%,2.62M,14/05
패키징,155.40,159.68,154.60,-1.11,-0.71%,695.82K,14/05
퍼블릭 서비스 엔터프라이즈,68.58,68.79,67.81,+0.29,+0.42%,2.17M,14/05
퍼블릭 스토리지,318.53,319.32,311.61,+4.39,+1.40%,782.13K,14/05
퍼스트리퍼블릭뱅크,141.42,143.86,140.16,+1.41,+1.01%,536.48K,14/05
퍼스트에너지,42.51,42.65,41.91,+0.30,+0.71%,2.37M,14/05
퍼킨엘머,148.61,148.81,145.44,+5.76,+4.03%,1.08M,14/05
펄티 그룹,42.53,43.16,41.94,+0.37,+0.88%,5.99M,14/05
페더럴 리얼티 인베,115.97,116.13,113.01,+3.20,+2.84%,616.76K,14/05
페덱스,211.29,215.06,208.62,+3.09,+1.48%,1.92M,14/05
페이첵스,119.69,120.63,118.49,+1.76,+1.49%,1.34M,14/05
페이팔 홀딩스,78.83,79.19,76.37,+4.54,+6.11%,17.11M,14/05
펜 내셔널,31.31,31.95,29.62,+2.26,+7.78%,5.43M,14/05
펜테어,50.02,50.74,49.35,+0.55,+1.11%,797.90K,14/05
펩시코,173.72,174.16,169.46,+3.32,+1.95%,4.70M,14/05
포드,13.50,13.63,12.87,+1.06,+8.52%,77.96M,14/05
포춘 브랜즈 홈 & 시큐리티,69.65,70.77,68.88,+0.98,+1.43%,1.65M,14/05
포티넷,281.55,283.49,272.34,+14.89,+5.58%,1.73M,14/05
포티브 코퍼레이션,58.50,59.07,57.70,+0.97,+1.69%,3.01M,14/05
폭스 B,31.24,31.54,30.90,+0.38,+1.23%,1.22M,14/05
폭스 코퍼레이션,33.80,34.28,33.51,+0.35,+1.05%,2.67M,14/05
프랭클린 리소시스,25.09,25.28,24.72,+0.57,+2.32%,2.62M,14/05
프로그레시브,107.82,109.72,107.10,-0.98,-0.90%,2.25M,14/05
프로로지스,128.35,128.65,124.53,+4.42,+3.57%,6.39M,14/05
프록터 앤드 갬블,153.62,153.73,150.42,+1.63,+1.07%,5.65M,14/05
프루덴셜,101.19,102.33,100.44,+1.03,+1.03%,1.95M,14/05
프리포트 맥모란,35.04,35.79,34.58,+0.70,+2.04%,18.43M,14/05
플리코 테크놀로지스,233.59,236.54,227.57,+8.57,+3.81%,825.88K,14/05
피델리티 내셔널 인포메이션 서비스(FIS),96.50,97.28,94.96,+2.55,+2.71%,2.35M,14/05
피프스 서드 뱅코프,35.97,36.40,35.60,+0.19,+0.53%,5.20M,14/05
필립 모리스,104.43,104.82,102.94,+1.06,+1.03%,2.77M,14/05
필립스 66,94.60,94.89,92.69,+3.41,+3.74%,3.33M,14/05
하니웰,193.53,194.95,190.93,+0.61,+0.32%,3.23M,14/05
하우멧 에어로스페이스,33.79,34.07,33.28,+0.94,+2.86%,2.32M,14/05
하트포드,69.55,70.22,68.94,+0.45,+0.65%,2.20M,14/05
할리버튼,36.10,36.35,35.22,+1.54,+4.46%,9.89M,14/05
해즈브로,92.10,92.38,90.04,+2.59,+2.89%,879.32K,14/05
허쉬,225.91,226.26,221.34,+3.38,+1.52%,1.84M,14/05
헌팅턴 뱅크셰어스,13.05,13.17,12.90,+0.17,+1.32%,11.64M,14/05
헌팅턴 잉걸스,203.78,207.53,201.31,+0.01,+0.00%,353.77K,14/05
헤스,114.27,114.76,110.56,+5.88,+5.42%,2.09M,14/05
헨리 샤인,83.51,86.03,83.32,-1.24,-1.46%,998.20K,14/05
헬스피크 프로퍼티,30.08,30.13,29.66,+0.27,+0.91%,3.50M,14/05
호멜,53.21,53.26,52.00,+0.89,+1.70%,1.40M,14/05
호스트 호텔 & 리조트,19.90,19.98,19.29,+0.70,+3.65%,5.42M,14/05
홀로직,76.28,76.64,74.08,+2.01,+2.71%,1.70M,14/05
홈디포,296.03,299.42,288.45,+6.34,+2.19%,3.92M,14/05
화이자,49.92,50.79,49.68,-0.47,-0.93%,22.31M,14/05
휴렛패커드 엔터프라이즈,15.95,16.03,15.66,+0.33,+2.11%,7.31M,14/05
휴렛팩커드,36.78,36.99,35.97,+0.94,+2.62%,8.82M,14/05
휴매너,438.89,440.71,426.60,+9.95,+2.32%,831.33K,14/05
힐튼 월드와이드,136.59,137.28,134.33,+4.16,+3.14%,2.09M,14/05
