종목,현재가,고가,저가,변동,변동 %,거래량,시간
NRG 에너지,42.29,42.69,41.15,+0.90,+2.17%,4.04M,14/05
NVR Inc,"4,293.6","4,329.1","4,213.9",+45.8,+1.08%,21.15K,14/05
NXP세미컨덕터즈,181.99,183.10,175.61,+8.33,+4.80%,2.88M,14/05
Organon Co,34.94,35.23,34.19,+0.59,+1.72%,1.15M,14/05
Parametric Tech,109.55,110.23,106.42,+3.23,+3.04%,1.36M,14/05
Paramount Global B,28.35,28.41,27.40,+1.23,+4.54%,2.16M,14/05
Paycom Soft,288.56,292.11,280.00,+13.57,+4.93%,432.14K,14/05
Pinnacle West,73.24,73.77,72.40,-0.14,-0.19%,481.22K,14/05
PNC 파이낸셜,157.44,161.45,156.75,-1.86,-1.17%,2.14M,14/05
Pool Corp,411.16,413.18,405.37,+8.41,+2.09%,337.19K,14/05
PPG 인더스트리즈,122.36,125.49,121.76,-0.96,-0.78%,1.01M,14/05
PPL 코퍼레이션,28.77,28.88,28.32,+0.43,+1.52%,4.52M,14/05
Principal Financial,70.02,70.73,68.04,+2.40,+3.55%,2.26M,14/05
PVH - 필립스 반 호이젠,67.95,68.46,65.03,+3.45,+5.35%,1.23M,14/05
ResMed Inc,196.86,200.27,194.40,+4.55,+2.37%,598.16K,14/05
S&P Global,336.85,341.07,332.56,+7.19,+2.18%,2.63M,14/05
SBA커뮤니케이션,334.17,334.34,324.60,+10.77,+3.33%,519.28K,14/05
Signature Bank,201.20,210.26,198.60,+12.02,+6.35%,2.00M,14/05
STERIS,216.18,223.42,215.50,-2.21,-1.01%,540.56K,14/05
SVB 파이낸셜,449.28,461.64,441.93,+13.71,+3.15%,409.43K,14/05
TE 커넥티비티,125.22,125.74,123.47,+2.61,+2.13%,1.35M,14/05
Teledyne Tech,400.95,400.95,387.00,+16.18,+4.21%,421.17K,14/05
TJX 컴퍼니,57.19,57.57,56.07,+1.19,+2.12%,8.03M,14/05
Trimble,65.92,66.22,63.27,+3.24,+5.17%,1.27M,14/05
Tyler Tech,358.36,363.83,348.38,+13.16,+3.81%,288.36K,14/05
U.S 뱅코프,48.60,49.05,48.10,+0.01,+0.02%,5.57M,14/05
UDR,48.78,48.84,47.67,+0.84,+1.75%,1.28M,14/05
VF 코퍼레이션,47.59,48.15,47.09,+0.34,+0.72%,2.82M,14/05
Warner Bros Discovery,18.10,18.25,17.17,+0.99,+5.79%,15.28M,14/05
WEC 에너지그룹,102.09,102.83,100.04,+1.27,+1.26%,1.58M,14/05
West,304.97,306.95,299.00,+8.98,+3.03%,309.27K,14/05
Wr Berkley Corp,67.33,67.40,66.34,+0.98,+1.48%,1.80M,14/05
WW 그레인저,477.33,478.83,470.15,+8.09,+1.72%,281.40K,14/05
Zebra Tech,336.86,337.75,322.01,+20.14,+6.36%,627.56K,14/05
가민,101.36,102.39,100.24,+1.89,+1.90%,546.23K,14/05
가트너,255.52,257.95,250.50,+7.92,+3.20%,515.90K,14/05
갭,12.15,12.55,12.03,+0.16,+1.33%,6.88M,14/05
