마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,17108,14351,14884,13601
총 이익,10669,9158,9801,8981
영업 이익,2588,2223,2713,2537
순이익,1994,1599,2083,3553
총 자산,34631,34330,30167,27229
총부채,19754,21246,17360,15499
총자본,14877,13084,12807,11730
영업활동 현금,3263,3277,2191,2610
투자활동현금흐름,-859,-4701,-1455,-2857
재무활동 현금,-2365,-11,3,1329
현금순변동,1,-1394,721,1074
