마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,21804,19533,21708,22832
총 이익,17739,16297,17347,17858
영업 이익,9338,7834,8552,8432
순이익,6523,5349,5919,5966
총 자산,63525,62398,61673,59147
총부채,49364,45440,43545,38724
총자본,14161,16958,18128,20423
영업활동 현금,9032,8540,8609,8686
투자활동현금흐름,-2709,-2676,-3435,-3411
재무활동 현금,-7158,-4902,-5646,-5222
현금순변동,-835,962,-472,53
