마감 기준:,2021년 08월 31일,2020년 08월 31일,2019년 08월 31일,2018년 08월 31일
총매출,50533.39,44327.04,43215.01,40992.53
총 이익,16364.13,13976.16,13314.69,12493.36
영업 이익,7621.53,6513.64,6305.07,5898.78
순이익,5906.81,5107.84,4779.11,4059.91
총 자산,43175.84,37078.59,29789.88,24449.08
총부채,23646.39,20078.06,15380.87,14084.33
총자본,19529.45,17000.54,14409.01,10364.75
영업활동 현금,8975.15,8215.15,6626.95,6026.69
투자활동현금흐름,-4309.77,-1894.52,-1755.58,-1249.6
재무활동 현금,-4926.34,-4049.09,-3767.17,-3709.03
현금순변동,-247.16,2288.48,1065.49,934.5
