마감 기준:,2021년 12월 25일,2020년 12월 26일,2019년 12월 28일,2018년 12월 29일
총매출,79024,77867,71965,70848
총 이익,43815,43612,42140,43737
영업 이익,19460,23684,22035,23316
순이익,19868,20899,21048,21053
총 자산,168406,153091,136524,127963
총부채,73015,72053,58865,52981
총자본,95391,81038,77659,74982
영업활동 현금,29991,35384,33145,29432
투자활동현금흐름,-25167,-20796,-14405,-11239
재무활동 현금,-5862,-12917,-17565,-18607
현금순변동,-1038,1671,1175,-414
