마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,138639,121867,104260,92131
영업 이익,8723,7022,6731,5821
순이익,6104,4572,4807,3750
총 자산,97460,86615,77453,71571
총부채,61400,53416,45725,43030
총자본,36060,33199,31728,28541
영업활동 현금,8364,10688,6061,3827
투자활동현금흐름,-9638,-7324,-2792,-1259
재무활동 현금,423,-2567,-2266,-2241
현금순변동,-861,804,1003,325
