마감 기준:,2021년 10월 31일,2020년 10월 25일,2019년 10월 27일,2018년 10월 28일
총매출,11386.19,9608.46,9497.32,9545.7
총 이익,1927.91,1825.96,1884.65,1979.47
영업 이익,1122.6,1100.22,1196.27,1179.96
순이익,908.84,908.08,978.81,1012.14
총 자산,12696.33,9908.28,8109,8142.29
총부채,5723.45,3482.73,2187.55,2541.48
총자본,6972.88,6425.55,5921.46,5600.81
영업활동 현금,1001.93,1128.02,923,1241.73
투자활동현금흐름,-3625.84,-656.32,220.15,-1235.37
재무활동 현금,1520.52,566.17,-926.24,11.64
현금순변동,-1100.78,1041.41,213.76,15.01
