마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,6538,4124,4590,4429
총 이익,2387,827,1174,917
영업 이익,1690,623,982,766
순이익,917,317,493,290
총 자산,12375,12023,12172,12661
총부채,9169,9101,9275,9703
총자본,3206,2922,2897,2958
영업활동 현금,2873,1231,1505,1497
투자활동현금흐름,-466,-299,-319,-375
재무활동 현금,-1463,-542,-1583,-1270
현금순변동,945,396,-395,-153
