마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,3702.88,3121.47,2294.97,2100.8
총 이익,2206.66,1785.74,1339.83,1220.39
영업 이익,1171.89,928.41,553.65,473.8
순이익,1014.59,784.15,467.47,451.78
총 자산,3809.43,3652.35,2787.01,2706.61
총부채,1245.47,1441.54,1306.86,1184.25
총자본,2563.96,2210.8,1480.16,1522.35
영업활동 현금,1098.37,868.93,578.75,476.88
투자활동현금흐름,120.36,-569.79,-156.66,923.01
재무활동 현금,-1008.58,-158.29,-574.35,-903.42
현금순변동,208.08,140.2,-152.83,496.91
