마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,1166.16,1016.17,1133.14,1120.97
총 이익,839.48,703.1,826.99,815.09
영업 이익,367.79,97.05,303.76,330.56
순이익,361.41,44.89,239.43,249.13
총 자산,10792.56,10936.9,11132.25,10944.66
총부채,4755.19,4951.99,4918.9,4546.69
총자본,6037.37,5984.91,6213.35,6397.97
영업활동 현금,659.39,499.12,621.27,610.33
투자활동현금흐름,-286.35,-25.64,-282.69,-106.02
재무활동 현금,-656.46,-210.59,-268.21,-508.49
현금순변동,-283.42,262.89,70.37,-4.19
