마감 기준:,2021년 12월 31일,2020년 12월 31일,2019년 12월 31일,2018년 12월 31일
총매출,14905,13578,12347,12657
영업 이익,1477,1217,1775,-552
순이익,925,871,1405,-302
총 자산,74745,69372,64382,56715
총부채,58857,55324,51079,44063
총자본,15888,14048,13303,12652
영업활동 현금,11,1263,-307,3177
투자활동현금흐름,-5151,-4971,-4678,-4239
재무활동 현금,5445,3727,4903,82
현금순변동,305,19,-82,-980
